chargePoint,startDateTime,endDateTime,RFIDTag,Name,startKwh,endKwh,chargedKwh,saveSendFtp
1,2023-09-19 14:53:57,2023-09-19 14:54:13,ef:04:e2:3b:62:fc:00,,0.26,0.26,0.00,0
1,2023-09-19 14:58:35,2023-09-19 14:58:37,00:00:00:00:00:00:00,,0.26,0.26,0.00,0
1,2023-09-19 17:51:52,2023-09-19 17:52:08,00:00:00:00:00:00:00,,0.26,0.26,0.00,0
1,2023-09-19 18:12:23,2023-09-19 18:12:27,ef:04:e2:3b:62:fc:00,,0.26,0.26,0.00,0
1,2023-09-19 18:34:33,2023-09-19 18:34:39,ef:04:e2:3b:62:fc:00,1,0.26,0.26,0.00,0
1,2023-09-19 18:38:10,2023-09-19 18:38:16,ef:04:e2:3b:62:fc:00,1,0.26,0.26,0.00,0
1,2023-09-19 18:43:57,2023-09-19 18:44:04,ef:04:e2:3b:62:fc:00,Severin,0.26,0.26,0.00,0
1,2023-09-19 18:45:01,2023-09-19 18:45:08,ef:04:e2:3b:62:fc:00,Severin,0.26,0.26,0.00,0
1,2023-09-19 19:06:33,2023-09-19 19:06:40,ef:04:e2:3b:62:fc:00,Severin,0.26,0.26,0.00,0
1,2023-09-19 23:00:31,2023-09-19 23:00:36,00:00:00:00:00:00:00,,0.27,0.27,0.00,0
1,2023-09-19 23:02:38,2023-09-19 23:02:54,00:00:00:00:00:00:00,,0.27,0.27,0.00,0
1,2023-09-19 23:06:13,2023-09-19 23:06:26,00:00:00:00:00:00:00,,0.27,0.27,0.00,0
1,2023-09-19 23:08:04,2023-09-19 23:08:22,ef:04:e2:3b:62:fc:00,Severin,0.27,0.27,0.00,0
1,2023-09-19 23:10:15,2023-09-19 23:10:21,ef:04:e2:3b:62:fc:00,Severin,0.27,0.27,0.00,0
1,2023-09-19 23:11:19,2023-09-19 23:11:37,ef:04:e2:3b:62:fc:00,Severin,0.27,0.27,0.00,0
1,2023-09-21 07:45:17,2023-09-21 07:45:25,ef:04:e2:3b:62:fc:00,Severin,0.30,0.30,0.00,0
